Dolar;1
Euro;1.90
Jen;0.0093
Funt;1.23
Dolar_Aust;0.62
Dolar_Kan;0.72
Frank;1.05
Renimbi;0.14
Korona;0.042
Dolar_Nowozel;0.61
Zloty;0.25
